2025-11-25 11:29:30 INFO  Utils:112 - [TestNG] Running:
  C:\Users\Nawaz\eclipse-workspace\skill_building_P001\grouping.xml

2025-11-25 11:29:33 INFO  TC_Registration_001:17 - ********** Starting TC_Registration_001 **********
2025-11-25 11:29:34 INFO  TC_Registration_001:23 - Clicked on My Account link
2025-11-25 11:29:34 INFO  TC_Registration_001:25 - Clicked on Register link
2025-11-25 11:29:35 INFO  TC_Registration_001:37 - Entered all the details in registration form
2025-11-25 11:29:36 INFO  TC_Registration_001:39 - Clicked on Continue button
2025-11-25 11:29:36 INFO  TC_Registration_001:42 - Fetched the confirmation message after registration
2025-11-25 11:29:36 INFO  TC_Registration_001:44 - Account registration successful
2025-11-25 11:29:36 INFO  TC_Registration_001:56 - ********** Finished TC_Registration_001 **********
2025-11-25 11:29:40 INFO  TC_Login_002:15 - ********** Starting TC_Login_002 **********
2025-11-25 11:29:40 INFO  TC_Login_002:21 - Navigated to Login page
2025-11-25 11:29:41 INFO  TC_Login_002:27 - Provided login details and clicked on Login button
2025-11-25 11:29:42 INFO  TC_Login_002:29 - Verifying Login test
2025-11-25 11:29:57 ERROR TC_Login_002:36 - Login test failed
2025-11-25 11:30:02 INFO  TC_Login_DDT_002001:24 - ********** Starting TC_Login_DDT_002001 **********
2025-11-25 11:30:04 INFO  TC_Login_DDT_002001:30 - Navigated to Login page
2025-11-25 11:30:04 INFO  TC_Login_DDT_002001:36 - Provided login details and clicked on Login button
2025-11-25 11:30:04 INFO  TC_Login_DDT_002001:38 - Verifying Login test
2025-11-25 11:30:32 INFO  TC_Login_DDT_002001:56 - In Invalid block
2025-11-25 11:30:32 INFO  TC_Login_DDT_002001:62 - Login test passed
2025-11-25 11:30:32 INFO  TC_Login_DDT_002001:70 - ********** Finished TC_Login_DDT_002001 **********
2025-11-25 11:30:32 INFO  TC_Login_DDT_002001:24 - ********** Starting TC_Login_DDT_002001 **********
2025-11-25 11:30:32 INFO  TC_Login_DDT_002001:30 - Navigated to Login page
2025-11-25 11:30:32 INFO  TC_Login_DDT_002001:36 - Provided login details and clicked on Login button
2025-11-25 11:30:32 INFO  TC_Login_DDT_002001:38 - Verifying Login test
2025-11-25 11:30:34 INFO  TC_Login_DDT_002001:56 - In Invalid block
2025-11-25 11:30:34 ERROR TC_Login_DDT_002001:58 - Login test failed
2025-11-25 11:30:35 INFO  TC_Login_DDT_002001:24 - ********** Starting TC_Login_DDT_002001 **********
2025-11-25 11:30:35 INFO  TC_Login_DDT_002001:30 - Navigated to Login page
2025-11-25 11:30:35 INFO  TC_Login_DDT_002001:36 - Provided login details and clicked on Login button
2025-11-25 11:30:35 INFO  TC_Login_DDT_002001:38 - Verifying Login test
2025-11-25 11:30:36 INFO  TC_Login_DDT_002001:44 - In Valid block
2025-11-25 11:30:36 INFO  TC_Login_DDT_002001:46 - Login test passed
2025-11-25 11:30:37 INFO  TC_Login_DDT_002001:70 - ********** Finished TC_Login_DDT_002001 **********
2025-11-25 11:30:37 INFO  TC_Login_DDT_002001:24 - ********** Starting TC_Login_DDT_002001 **********
2025-11-25 11:30:37 INFO  TC_Login_DDT_002001:30 - Navigated to Login page
2025-11-25 11:30:37 INFO  TC_Login_DDT_002001:36 - Provided login details and clicked on Login button
2025-11-25 11:30:37 INFO  TC_Login_DDT_002001:38 - Verifying Login test
2025-11-25 11:30:38 INFO  TC_Login_DDT_002001:44 - In Valid block
2025-11-25 11:30:38 INFO  TC_Login_DDT_002001:46 - Login test passed
2025-11-25 11:30:38 INFO  TC_Login_DDT_002001:70 - ********** Finished TC_Login_DDT_002001 **********
2025-11-25 11:30:38 INFO  TC_Login_DDT_002001:24 - ********** Starting TC_Login_DDT_002001 **********
2025-11-25 11:30:39 INFO  TC_Login_DDT_002001:30 - Navigated to Login page
2025-11-25 11:30:39 INFO  TC_Login_DDT_002001:36 - Provided login details and clicked on Login button
2025-11-25 11:30:39 INFO  TC_Login_DDT_002001:38 - Verifying Login test
2025-11-25 11:30:40 INFO  TC_Login_DDT_002001:44 - In Valid block
2025-11-25 11:30:40 INFO  TC_Login_DDT_002001:46 - Login test passed
2025-11-25 11:30:40 INFO  TC_Login_DDT_002001:70 - ********** Finished TC_Login_DDT_002001 **********
2025-11-25 11:30:40 INFO  TC_Login_DDT_002001:24 - ********** Starting TC_Login_DDT_002001 **********
2025-11-25 11:30:40 INFO  TC_Login_DDT_002001:30 - Navigated to Login page
2025-11-25 11:30:41 INFO  TC_Login_DDT_002001:36 - Provided login details and clicked on Login button
2025-11-25 11:30:41 INFO  TC_Login_DDT_002001:38 - Verifying Login test
2025-11-25 11:30:56 INFO  TC_Login_DDT_002001:56 - In Invalid block
2025-11-25 11:30:56 INFO  TC_Login_DDT_002001:62 - Login test passed
2025-11-25 11:30:56 INFO  TC_Login_DDT_002001:70 - ********** Finished TC_Login_DDT_002001 **********
2025-11-25 11:30:56 INFO  TC_Login_DDT_002001:24 - ********** Starting TC_Login_DDT_002001 **********
2025-11-25 11:30:56 INFO  TC_Login_DDT_002001:30 - Navigated to Login page
2025-11-25 11:30:57 INFO  TC_Login_DDT_002001:36 - Provided login details and clicked on Login button
2025-11-25 11:30:57 INFO  TC_Login_DDT_002001:38 - Verifying Login test
2025-11-25 11:31:12 INFO  TC_Login_DDT_002001:44 - In Valid block
2025-11-25 11:31:12 ERROR TC_Login_DDT_002001:50 - Login test failed
